"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.0.3","10.0.0.2","TCP","74","45266  >  34571 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3787165 TSecr=0 WS=512"
"2","0.151288168","10.0.0.2","10.0.0.3","TCP","74","34571  >  45266 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3787191 TSecr=3787165 WS=512"
"3","0.201890010","10.0.0.3","10.0.0.2","TCP","66","45266  >  34571 [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=3787216 TSecr=3787191"
"4","0.213976555","10.0.0.3","10.0.0.2","TCP","1514","[TCP Previous segment not captured] 45266  >  34571 [ACK] Seq=2049 Ack=1 Win=29696 Len=1448 TSval=3787216 TSecr=3787191"
"5","0.238265423","10.0.0.3","10.0.0.2","TCP","2962","[TCP Previous segment not captured] 45266  >  34571 [ACK] Seq=4945 Ack=1 Win=29696 Len=2896 TSval=3787216 TSecr=3787191"
"6","0.250340917","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=7841 Ack=1 Win=29696 Len=1448 TSval=3787216 TSecr=3787191"
"7","0.274535536","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=9289 Ack=1 Win=29696 Len=2896 TSval=3787216 TSecr=3787191"
"8","0.286654642","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=12185 Ack=1 Win=29696 Len=1448 TSval=3787216 TSecr=3787191"
"9","0.364819432","10.0.0.2","10.0.0.3","TCP","78","[TCP Window Update] 34571  >  45266 [ACK] Seq=1 Ack=1 Win=32256 Len=0 TSval=3787244 TSecr=3787216 SLE=2049 SRE=3497"
"10","0.388664100","10.0.0.2","10.0.0.3","TCP","86","[TCP Window Update] 34571  >  45266 [ACK] Seq=1 Ack=1 Win=37888 Len=0 TSval=3787250 TSecr=3787216 SLE=4945 SRE=7841 SLE=2049 SRE=3497"
"11","0.400484885","10.0.0.2","10.0.0.3","TCP","86","[TCP Window Update] 34571  >  45266 [ACK] Seq=1 Ack=1 Win=40960 Len=0 TSval=3787253 TSecr=3787216 SLE=4945 SRE=9289 SLE=2049 SRE=3497"
"12","0.424914487","10.0.0.2","10.0.0.3","TCP","86","[TCP Window Update] 34571  >  45266 [ACK] Seq=1 Ack=1 Win=46592 Len=0 TSval=3787259 TSecr=3787216 SLE=4945 SRE=12185 SLE=2049 SRE=3497"
"13","0.427022283","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=13633 Ack=1 Win=29696 Len=1448 TSval=3787269 TSecr=3787244"
"14","0.436842714","10.0.0.2","10.0.0.3","TCP","86","[TCP Window Update] 34571  >  45266 [ACK] Seq=1 Ack=1 Win=49664 Len=0 TSval=3787262 TSecr=3787216 SLE=4945 SRE=13633 SLE=2049 SRE=3497"
"15","0.450879695","10.0.0.3","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 45266  >  34571 [ACK] Seq=1 Ack=1 Win=29696 Len=1448 TSval=3787275 TSecr=3787250"
"16","0.456139923","10.0.0.3","10.0.0.2","TCP","666","[TCP Out-Of-Order] 45266  >  34571 [PSH, ACK] Seq=1449 Ack=1 Win=29696 Len=600 TSval=3787278 TSecr=3787253"
"17","0.487059354","10.0.0.3","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 45266  >  34571 [ACK] Seq=3497 Ack=1 Win=29696 Len=1448 TSval=3787284 TSecr=3787259"
"18","0.499350634","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=15081 Ack=1 Win=29696 Len=1448 TSval=3787284 TSecr=3787259"
"19","0.511327701","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=16529 Ack=1 Win=29696 Len=1448 TSval=3787287 TSecr=3787262"
"20","0.577304312","10.0.0.2","10.0.0.3","TCP","86","[TCP Window Update] 34571  >  45266 [ACK] Seq=1 Ack=1 Win=52224 Len=0 TSval=3787297 TSecr=3787216 SLE=4945 SRE=15081 SLE=2049 SRE=3497"
"21","0.601363247","10.0.0.2","10.0.0.3","TCP","86","34571  >  45266 [ACK] Seq=1 Ack=1449 Win=55296 Len=0 TSval=3787303 TSecr=3787275 SLE=4945 SRE=15081 SLE=2049 SRE=3497"
"22","0.606490801","10.0.0.2","10.0.0.3","TCP","78","34571  >  45266 [ACK] Seq=1 Ack=3497 Win=58368 Len=0 TSval=3787305 TSecr=3787278 SLE=4945 SRE=15081"
"23","0.637699345","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=15081 Win=60928 Len=0 TSval=3787312 TSecr=3787284"
"24","0.650059654","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=16529 Win=64000 Len=0 TSval=3787316 TSecr=3787284"
"25","0.661510955","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=17977 Win=67072 Len=0 TSval=3787318 TSecr=3787287"
"26","0.675757224","10.0.0.3","10.0.0.2","TCP","2962","[TCP Previous segment not captured] 45266  >  34571 [ACK] Seq=19425 Ack=1 Win=29696 Len=2896 TSval=3787328 TSecr=3787303"
"27","0.687745750","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=22321 Ack=1 Win=29696 Len=1448 TSval=3787330 TSecr=3787305"
"28","0.711984427","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=23769 Ack=1 Win=29696 Len=2896 TSval=3787338 TSecr=3787312"
"29","0.724108482","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=26665 Ack=1 Win=29696 Len=1448 TSval=3787341 TSecr=3787316"
"30","0.736237126","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=28113 Ack=1 Win=29696 Len=1448 TSval=3787343 TSecr=3787318"
"31","0.826398298","10.0.0.2","10.0.0.3","TCP","78","[TCP Window Update] 34571  >  45266 [ACK] Seq=1 Ack=17977 Win=72704 Len=0 TSval=3787360 TSecr=3787287 SLE=19425 SRE=22321"
"32","0.837884580","10.0.0.2","10.0.0.3","TCP","78","[TCP Window Update] 34571  >  45266 [ACK] Seq=1 Ack=17977 Win=75776 Len=0 TSval=3787363 TSecr=3787287 SLE=19425 SRE=23769"
"33","0.862245215","10.0.0.2","10.0.0.3","TCP","78","[TCP Window Update] 34571  >  45266 [ACK] Seq=1 Ack=17977 Win=81408 Len=0 TSval=3787369 TSecr=3787287 SLE=19425 SRE=26665"
"34","0.874372428","10.0.0.2","10.0.0.3","TCP","78","[TCP Window Update] 34571  >  45266 [ACK] Seq=1 Ack=17977 Win=84480 Len=0 TSval=3787372 TSecr=3787287 SLE=19425 SRE=28113"
"35","0.886440909","10.0.0.2","10.0.0.3","TCP","78","[TCP Window Update] 34571  >  45266 [ACK] Seq=1 Ack=17977 Win=87040 Len=0 TSval=3787375 TSecr=3787287 SLE=19425 SRE=29561"
"36","0.900665035","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=29561 Ack=1 Win=29696 Len=2896 TSval=3787385 TSecr=3787360"
"37","0.936657043","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=32457 Ack=1 Win=29696 Len=1448 TSval=3787397 TSecr=3787372"
"38","0.948796687","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=33905 Ack=1 Win=29696 Len=1448 TSval=3787400 TSecr=3787375"
"39","1.051130068","10.0.0.2","10.0.0.3","TCP","78","[TCP Window Update] 34571  >  45266 [ACK] Seq=1 Ack=17977 Win=92672 Len=0 TSval=3787416 TSecr=3787287 SLE=19425 SRE=32457"
"40","1.087548921","10.0.0.2","10.0.0.3","TCP","78","[TCP Window Update] 34571  >  45266 [ACK] Seq=1 Ack=17977 Win=95744 Len=0 TSval=3787425 TSecr=3787287 SLE=19425 SRE=33905"
"41","1.099687609","10.0.0.2","10.0.0.3","TCP","78","[TCP Window Update] 34571  >  45266 [ACK] Seq=1 Ack=17977 Win=98816 Len=0 TSval=3787428 TSecr=3787287 SLE=19425 SRE=35353"
"42","1.125496664","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=35353 Ack=1 Win=29696 Len=2896 TSval=3787441 TSecr=3787416"
"43","1.149797314","10.0.0.3","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 45266  >  34571 [ACK] Seq=17977 Ack=1 Win=29696 Len=1448 TSval=3787450 TSecr=3787425"
"44","1.161903986","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=38249 Ack=1 Win=29696 Len=1448 TSval=3787453 TSecr=3787428"
"45","1.275939543","10.0.0.2","10.0.0.3","TCP","78","[TCP Window Update] 34571  >  45266 [ACK] Seq=1 Ack=17977 Win=104448 Len=0 TSval=3787472 TSecr=3787287 SLE=19425 SRE=38249"
"46","1.300271130","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=38249 Win=107520 Len=0 TSval=3787478 TSecr=3787450"
"47","1.312137874","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=39697 Win=110080 Len=0 TSval=3787481 TSecr=3787453"
"48","1.350260084","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=39697 Ack=1 Win=29696 Len=2896 TSval=3787497 TSecr=3787472"
"49","1.374612243","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=42593 Ack=1 Win=29696 Len=2896 TSval=3787503 TSecr=3787478"
"50","1.398893704","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=45489 Ack=1 Win=29696 Len=2896 TSval=3787503 TSecr=3787478"
"51","1.411148959","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=48385 Ack=1 Win=29696 Len=1448 TSval=3787506 TSecr=3787481"
"52","1.500715963","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=42593 Win=116224 Len=0 TSval=3787528 TSecr=3787497"
"53","1.525087307","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=45489 Win=121856 Len=0 TSval=3787534 TSecr=3787503"
"54","1.549659025","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=48385 Win=127488 Len=0 TSval=3787540 TSecr=3787503"
"55","1.561509457","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=49833 Win=130560 Len=0 TSval=3787543 TSecr=3787506"
"56","1.575035116","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=49833 Ack=1 Win=29696 Len=2896 TSval=3787553 TSecr=3787528"
"57","1.599523718","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=52729 Ack=1 Win=29696 Len=2896 TSval=3787559 TSecr=3787534"
"58","1.611984496","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=55625 Ack=1 Win=29696 Len=1448 TSval=3787566 TSecr=3787540"
"59","1.636095398","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=57073 Ack=1 Win=29696 Len=2896 TSval=3787568 TSecr=3787543"
"60","1.725300945","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=52729 Win=136192 Len=0 TSval=3787584 TSecr=3787553"
"61","1.749889614","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=55625 Win=142336 Len=0 TSval=3787591 TSecr=3787559"
"62","1.762338539","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=57073 Win=144896 Len=0 TSval=3787594 TSecr=3787566"
"63","1.786393106","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=59969 Win=151040 Len=0 TSval=3787600 TSecr=3787568"
"64","1.799619383","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=59969 Ack=1 Win=29696 Len=2896 TSval=3787609 TSecr=3787584"
"65","1.824237666","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=62865 Ack=1 Win=29696 Len=2896 TSval=3787616 TSecr=3787591"
"66","1.836314562","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=65761 Ack=1 Win=29696 Len=1448 TSval=3787619 TSecr=3787594"
"67","1.860823370","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=67209 Ack=1 Win=29696 Len=2896 TSval=3787625 TSecr=3787600"
"68","1.949761181","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=62865 Win=156672 Len=0 TSval=3787641 TSecr=3787609"
"69","1.974646704","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=65761 Win=162304 Len=0 TSval=3787647 TSecr=3787616"
"70","1.986547609","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=67209 Win=165376 Len=0 TSval=3787650 TSecr=3787619"
"71","2.011474319","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=70105 Win=170496 Len=0 TSval=3787656 TSecr=3787625"
"72","2.011984236","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=70105 Ack=1 Win=29696 Len=1448 TSval=3787666 TSecr=3787641"
"73","2.049434705","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=71553 Ack=1 Win=29696 Len=2896 TSval=3787672 TSecr=3787647"
"74","2.073323651","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=74449 Ack=1 Win=29696 Len=2896 TSval=3787675 TSecr=3787650"
"75","2.097425763","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=77345 Ack=1 Win=29696 Len=2896 TSval=3787681 TSecr=3787656"
"76","2.162498154","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=71553 Win=170496 Len=0 TSval=3787694 TSecr=3787666"
"77","2.199590442","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=74449 Win=170496 Len=0 TSval=3787703 TSecr=3787672"
"78","2.223630531","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=77345 Win=170496 Len=0 TSval=3787709 TSecr=3787675"
"79","2.236862676","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=80241 Ack=1 Win=29696 Len=2896 TSval=3787719 TSecr=3787694"
"80","2.247754579","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=80241 Win=170496 Len=0 TSval=3787715 TSecr=3787681"
"81","2.273873370","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=83137 Ack=1 Win=29696 Len=2896 TSval=3787728 TSecr=3787703"
"82","2.298126195","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=86033 Ack=1 Win=29696 Len=2896 TSval=3787734 TSecr=3787709"
"83","2.322381152","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=88929 Ack=1 Win=29696 Len=2896 TSval=3787740 TSecr=3787715"
"84","2.387140238","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=83137 Win=170496 Len=0 TSval=3787750 TSecr=3787719"
"85","2.424172608","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=86033 Win=170496 Len=0 TSval=3787759 TSecr=3787728"
"86","2.448987753","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=88929 Win=170496 Len=0 TSval=3787765 TSecr=3787734"
"87","2.461462166","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=91825 Ack=1 Win=29696 Len=2896 TSval=3787775 TSecr=3787750"
"88","2.472862711","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=91825 Win=170496 Len=0 TSval=3787771 TSecr=3787740"
"89","2.498453046","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=94721 Ack=1 Win=29696 Len=2896 TSval=3787784 TSecr=3787759"
"90","2.523240629","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=97617 Ack=1 Win=29696 Len=2896 TSval=3787790 TSecr=3787765"
"91","2.547549289","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=100513 Ack=1 Win=29696 Len=2896 TSval=3787796 TSecr=3787771"
"92","2.559941014","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=103409 Ack=1 Win=29696 Len=1448 TSval=3787796 TSecr=3787771"
"93","2.612367668","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=94721 Win=170496 Len=0 TSval=3787806 TSecr=3787775"
